fileNumber,data_type,format_version,handbook_version,reference_date_time,date_creation,date_update,platform_number,project_name,pi_name,cycle_number,direction,data_center,dc_reference,data_state_indicator,data_mode,platform_type,float_serial_no,firmware_version,wmo_inst_type,time,time_qc,time_location,latitude,longitude,position_qc,positioning_system,profile_pres_qc,profile_temp_qc,profile_psal_qc,vertical_sampling_scheme,config_mission_number,pres,pres_qc,pres_adjusted,pres_adjusted_qc,pres_adjusted_error,temp,temp_qc,temp_adjusted,temp_adjusted_qc,temp_adjusted_error,psal,psal_qc,psal_adjusted,psal_adjusted_qc,psal_adjusted_error,doxy,doxy_qc,temp_doxy,temp_doxy_qc,molar_doxy,molar_doxy_qc,turbidity,turbidity_qc,chla,chla_qc,nitrate,nitrate_qc
,,,,UTC,UTC,UTC,,,,,,,,,,,,,,UTC,,UTC,degrees_north,degrees_east,,,,,,,,decibar,,decibar,,decibar,degree_Celsius,,degree_Celsius,,degree_Celsius,PSU,,PSU,,psu,micromole/kg,,degree_Celsius,,micromole/l,,ntu,,mg/m3,,micromole/kg,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,38.9,1,38.9,1,2.4,7.794,1,7.794,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,39.9,1,39.9,1,2.4,7.794,1,7.794,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,40.8,1,40.8,1,2.4,7.794,1,7.794,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,41.8,1,41.8,1,2.4,7.795,1,7.795,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,42.7,1,42.7,1,2.4,7.795,1,7.795,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,43.6,1,43.6,1,2.4,7.795,1,7.795,1,0.002,34.083,1,34.083,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,44.6,1,44.6,1,2.4,7.794,1,7.794,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,45.6,1,45.6,1,2.4,7.794,1,7.794,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,46.6,1,46.6,1,2.4,7.795,1,7.795,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,47.6,1,47.6,1,2.4,7.794,1,7.794,1,0.002,34.083,1,34.083,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,48.6,1,48.6,1,2.4,7.794,1,7.794,1,0.002,34.083,1,34.083,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,49.5,1,49.5,1,2.4,7.795,1,7.795,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,50.9,1,50.9,1,2.4,7.794,1,7.794,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,52.5,1,52.5,1,2.4,7.795,1,7.795,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,53.5,1,53.5,1,2.4,7.795,1,7.795,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,54.5,1,54.5,1,2.4,7.795,1,7.795,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,55.5,1,55.5,1,2.4,7.795,1,7.795,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,56.5,1,56.5,1,2.4,7.795,1,7.795,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,57.5,1,57.5,1,2.4,7.795,1,7.795,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,58.5,1,58.5,1,2.4,7.796,1,7.796,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,59.5,1,59.5,1,2.4,7.796,1,7.796,1,0.002,34.083,1,34.083,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,60.5,1,60.5,1,2.4,7.796,1,7.796,1,0.002,34.083,1,34.083,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,61.6,1,61.6,1,2.4,7.796,1,7.796,1,0.002,34.083,1,34.083,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,62.7,1,62.7,1,2.4,7.796,1,7.796,1,0.002,34.083,1,34.083,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,63.8,1,63.8,1,2.4,7.797,1,7.797,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,64.9,1,64.9,1,2.4,7.797,1,7.797,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,66.0,1,66.0,1,2.4,7.797,1,7.797,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,67.1,1,67.1,1,2.4,7.797,1,7.797,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,68.3,1,68.3,1,2.4,7.797,1,7.797,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,69.4,1,69.4,1,2.4,7.797,1,7.797,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,70.5,1,70.5,1,2.4,7.797,1,7.797,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,71.6,1,71.6,1,2.4,7.797,1,7.797,1,0.002,34.083,1,34.083,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,72.6,1,72.6,1,2.4,7.797,1,7.797,1,0.002,34.083,1,34.083,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,73.7,1,73.7,1,2.4,7.798,1,7.798,1,0.002,34.083,1,34.083,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,74.7,1,74.7,1,2.4,7.798,1,7.798,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
3901994,Argo profile,3.1,1.2,1950-01-01T00:00:00Z,2019-01-10T12:02:12Z,2025-09-08T21:48:19Z,3901994,MOCCA-EU,Romain Cancouet,47,A,IF,,2C,D,ARVOR,AI2600-17EU019,5900A04,844,2026-12-27T14:48:20Z,4,2026-12-27T15:04:26Z,-53.910165,-84.44646166666666,1,GPS,A,A,A,"Primary sampling: averaged [10 sec sampling, 5 dbar average from 2000 dbar to 500 dbar; 10 sec sampling, 2 dbar average from 500 dbar to 100 dbar; 10 sec sampling, 1 dbar average from 100 dbar to 2.3 dbar]",2,75.7,1,75.7,1,2.4,7.798,1,7.798,1,0.002,34.082,1,34.082,1,0.01,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,
